Group,Code,Name,Year,Disease,Disease_description,Cases
COUNTRIES,PAK,Pakistan,2018,DIPHTHERIA,Diphtheria,1336
COUNTRIES,PAK,Pakistan,2018,TB,Tuberculosis,1806
COUNTRIES,PAK,Pakistan,2018,HEPB,Hepatitis B,361
COUNTRIES,PAK,Pakistan,2019,MEASLES,Measles,568
COUNTRIES,PAK,Pakistan,2019,POLIO,Poliomyelitis,799
COUNTRIES,PAK,Pakistan,2019,PERTUSSIS,Pertussis (Whooping cough),982
COUNTRIES,PAK,Pakistan,2019,DIPHTHERIA,Diphtheria,1140
COUNTRIES,PAK,Pakistan,2019,TB,Tuberculosis,345
COUNTRIES,PAK,Pakistan,2019,HEPB,Hepatitis B,79
COUNTRIES,PAK,Pakistan,2020,MEASLES,Measles,1473
COUNTRIES,PAK,Pakistan,2020,POLIO,Poliomyelitis,805
COUNTRIES,PAK,Pakistan,2020,PERTUSSIS,Pertussis (Whooping cough),1556
COUNTRIES,PAK,Pakistan,2020,DIPHTHERIA,Diphtheria,1654
COUNTRIES,PAK,Pakistan,2020,TB,Tuberculosis,0
COUNTRIES,PAK,Pakistan,2020,HEPB,Hepatitis B,0
COUNTRIES,PAK,Pakistan,2021,MEASLES,Measles,244
COUNTRIES,PAK,Pakistan,2021,POLIO,Poliomyelitis,0
COUNTRIES,PAK,Pakistan,2021,PERTUSSIS,Pertussis (Whooping cough),1159
COUNTRIES,PAK,Pakistan,2021,DIPHTHERIA,Diphtheria,1262
COUNTRIES,PAK,Pakistan,2021,TB,Tuberculosis,1289
COUNTRIES,PAK,Pakistan,2021,HEPB,Hepatitis B,240
COUNTRIES,PAK,Pakistan,2022,MEASLES,Measles,2266
COUNTRIES,PAK,Pakistan,2022,POLIO,Poliomyelitis,539
COUNTRIES,PAK,Pakistan,2022,PERTUSSIS,Pertussis (Whooping cough),1314
COUNTRIES,PAK,Pakistan,2022,DIPHTHERIA,Diphtheria,881
COUNTRIES,PAK,Pakistan,2022,TB,Tuberculosis,3042
COUNTRIES,PAK,Pakistan,2022,HEPB,Hepatitis B,634
COUNTRIES,PAK,Pakistan,2023,MEASLES,Measles,2304
COUNTRIES,PAK,Pakistan,2023,POLIO,Poliomyelitis,1924
COUNTRIES,PAK,Pakistan,2023,PERTUSSIS,Pertussis (Whooping cough),840
COUNTRIES,PAK,Pakistan,2023,DIPHTHERIA,Diphtheria,2441
COUNTRIES,PAK,Pakistan,2023,TB,Tuberculosis,471
COUNTRIES,PAK,Pakistan,2023,HEPB,Hepatitis B,444
COUNTRIES,ETH,Ethiopia,2010,MEASLES,Measles,239
COUNTRIES,ETH,Ethiopia,2010,POLIO,Poliomyelitis,533
COUNTRIES,ETH,Ethiopia,2010,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,ETH,Ethiopia,2010,DIPHTHERIA,Diphtheria,0
COUNTRIES,ETH,Ethiopia,2010,TB,Tuberculosis,392
COUNTRIES,ETH,Ethiopia,2010,HEPB,Hepatitis B,253
COUNTRIES,ETH,Ethiopia,2011,MEASLES,Measles,135
COUNTRIES,ETH,Ethiopia,2011,POLIO,Poliomyelitis,188
COUNTRIES,ETH,Ethiopia,2011,PERTUSSIS,Pertussis (Whooping cough),217
COUNTRIES,ETH,Ethiopia,2011,DIPHTHERIA,Diphtheria,184
COUNTRIES,ETH,Ethiopia,2011,TB,Tuberculosis,26
COUNTRIES,ETH,Ethiopia,2011,HEPB,Hepatitis B,0
COUNTRIES,ETH,Ethiopia,2012,MEASLES,Measles,73
COUNTRIES,ETH,Ethiopia,2012,POLIO,Poliomyelitis,0
COUNTRIES,ETH,Ethiopia,2012,PERTUSSIS,Pertussis (Whooping cough),613
COUNTRIES,ETH,Ethiopia,2012,DIPHTHERIA,Diphtheria,199
COUNTRIES,ETH,Ethiopia,2012,TB,Tuberculosis,184
COUNTRIES,ETH,Ethiopia,2012,HEPB,Hepatitis B,0
COUNTRIES,ETH,Ethiopia,2013,MEASLES,Measles,0
COUNTRIES,ETH,Ethiopia,2013,POLIO,Poliomyelitis,139
COUNTRIES,ETH,Ethiopia,2013,PERTUSSIS,Pertussis (Whooping cough),174
COUNTRIES,ETH,Ethiopia,2013,DIPHTHERIA,Diphtheria,0
COUNTRIES,ETH,Ethiopia,2013,TB,Tuberculosis,31
COUNTRIES,ETH,Ethiopia,2013,HEPB,Hepatitis B,117
COUNTRIES,ETH,Ethiopia,2014,MEASLES,Measles,0
COUNTRIES,ETH,Ethiopia,2014,POLIO,Poliomyelitis,8
COUNTRIES,ETH,Ethiopia,2014,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,ETH,Ethiopia,2014,DIPHTHERIA,Diphtheria,0
COUNTRIES,ETH,Ethiopia,2014,TB,Tuberculosis,0
COUNTRIES,ETH,Ethiopia,2014,HEPB,Hepatitis B,173
COUNTRIES,ETH,Ethiopia,2015,MEASLES,Measles,0
COUNTRIES,ETH,Ethiopia,2015,POLIO,Poliomyelitis,26
COUNTRIES,ETH,Ethiopia,2015,PERTUSSIS,Pertussis (Whooping cough),71
COUNTRIES,ETH,Ethiopia,2015,DIPHTHERIA,Diphtheria,0
COUNTRIES,ETH,Ethiopia,2015,TB,Tuberculosis,0
COUNTRIES,ETH,Ethiopia,2015,HEPB,Hepatitis B,0
COUNTRIES,ETH,Ethiopia,2016,MEASLES,Measles,531
COUNTRIES,ETH,Ethiopia,2016,POLIO,Poliomyelitis,0
COUNTRIES,ETH,Ethiopia,2016,PERTUSSIS,Pertussis (Whooping cough),37
COUNTRIES,ETH,Ethiopia,2016,DIPHTHERIA,Diphtheria,0
COUNTRIES,ETH,Ethiopia,2016,TB,Tuberculosis,115
COUNTRIES,ETH,Ethiopia,2016,HEPB,Hepatitis B,0
COUNTRIES,ETH,Ethiopia,2017,MEASLES,Measles,0
COUNTRIES,ETH,Ethiopia,2017,POLIO,Poliomyelitis,0
COUNTRIES,ETH,Ethiopia,2017,PERTUSSIS,Pertussis (Whooping cough),364
COUNTRIES,ETH,Ethiopia,2017,DIPHTHERIA,Diphtheria,51
COUNTRIES,ETH,Ethiopia,2017,TB,Tuberculosis,0
COUNTRIES,ETH,Ethiopia,2017,HEPB,Hepatitis B,250
COUNTRIES,ETH,Ethiopia,2018,MEASLES,Measles,413
COUNTRIES,ETH,Ethiopia,2018,POLIO,Poliomyelitis,0
COUNTRIES,ETH,Ethiopia,2018,PERTUSSIS,Pertussis (Whooping cough),341
COUNTRIES,ETH,Ethiopia,2018,DIPHTHERIA,Diphtheria,276
COUNTRIES,ETH,Ethiopia,2018,TB,Tuberculosis,128
COUNTRIES,ETH,Ethiopia,2018,HEPB,Hepatitis B,0
COUNTRIES,ETH,Ethiopia,2019,MEASLES,Measles,0
COUNTRIES,ETH,Ethiopia,2019,POLIO,Poliomyelitis,239
COUNTRIES,ETH,Ethiopia,2019,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,ETH,Ethiopia,2019,DIPHTHERIA,Diphtheria,181
COUNTRIES,ETH,Ethiopia,2019,TB,Tuberculosis,59
COUNTRIES,ETH,Ethiopia,2019,HEPB,Hepatitis B,0
COUNTRIES,ETH,Ethiopia,2020,MEASLES,Measles,210
COUNTRIES,ETH,Ethiopia,2020,POLIO,Poliomyelitis,253
COUNTRIES,ETH,Ethiopia,2020,PERTUSSIS,Pertussis (Whooping cough),10
COUNTRIES,ETH,Ethiopia,2020,DIPHTHERIA,Diphtheria,253
COUNTRIES,ETH,Ethiopia,2020,TB,Tuberculosis,354
COUNTRIES,ETH,Ethiopia,2020,HEPB,Hepatitis B,440
COUNTRIES,ETH,Ethiopia,2021,MEASLES,Measles,0
COUNTRIES,ETH,Ethiopia,2021,POLIO,Poliomyelitis,0
COUNTRIES,ETH,Ethiopia,2021,PERTUSSIS,Pertussis (Whooping cough),260
COUNTRIES,ETH,Ethiopia,2021,DIPHTHERIA,Diphtheria,0
COUNTRIES,ETH,Ethiopia,2021,TB,Tuberculosis,0
COUNTRIES,ETH,Ethiopia,2021,HEPB,Hepatitis B,11
COUNTRIES,ETH,Ethiopia,2022,MEASLES,Measles,607
COUNTRIES,ETH,Ethiopia,2022,POLIO,Poliomyelitis,0
COUNTRIES,ETH,Ethiopia,2022,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,ETH,Ethiopia,2022,DIPHTHERIA,Diphtheria,98
COUNTRIES,ETH,Ethiopia,2022,TB,Tuberculosis,0
COUNTRIES,ETH,Ethiopia,2022,HEPB,Hepatitis B,0
COUNTRIES,ETH,Ethiopia,2023,MEASLES,Measles,0
COUNTRIES,ETH,Ethiopia,2023,POLIO,Poliomyelitis,49
COUNTRIES,ETH,Ethiopia,2023,PERTUSSIS,Pertussis (Whooping cough),73
COUNTRIES,ETH,Ethiopia,2023,DIPHTHERIA,Diphtheria,160
COUNTRIES,ETH,Ethiopia,2023,TB,Tuberculosis,125
COUNTRIES,ETH,Ethiopia,2023,HEPB,Hepatitis B,273
COUNTRIES,BGD,Bangladesh,2010,MEASLES,Measles,273
COUNTRIES,BGD,Bangladesh,2010,POLIO,Poliomyelitis,147
COUNTRIES,BGD,Bangladesh,2010,PERTUSSIS,Pertussis (Whooping cough),91
COUNTRIES,BGD,Bangladesh,2010,DIPHTHERIA,Diphtheria,584
COUNTRIES,BGD,Bangladesh,2010,TB,Tuberculosis,297
COUNTRIES,BGD,Bangladesh,2010,HEPB,Hepatitis B,476
COUNTRIES,BGD,Bangladesh,2011,MEASLES,Measles,352
COUNTRIES,BGD,Bangladesh,2011,POLIO,Poliomyelitis,106
COUNTRIES,BGD,Bangladesh,2011,PERTUSSIS,Pertussis (Whooping cough),524
COUNTRIES,BGD,Bangladesh,2011,DIPHTHERIA,Diphtheria,581
COUNTRIES,BGD,Bangladesh,2011,TB,Tuberculosis,507
COUNTRIES,BGD,Bangladesh,2011,HEPB,Hepatitis B,857
COUNTRIES,BGD,Bangladesh,2012,MEASLES,Measles,0
COUNTRIES,BGD,Bangladesh,2012,POLIO,Poliomyelitis,111
COUNTRIES,BGD,Bangladesh,2012,PERTUSSIS,Pertussis (Whooping cough),87
COUNTRIES,BGD,Bangladesh,2012,DIPHTHERIA,Diphtheria,503
COUNTRIES,BGD,Bangladesh,2012,TB,Tuberculosis,127
COUNTRIES,BGD,Bangladesh,2012,HEPB,Hepatitis B,105
COUNTRIES,BGD,Bangladesh,2013,MEASLES,Measles,1260
COUNTRIES,BGD,Bangladesh,2013,POLIO,Poliomyelitis,151
COUNTRIES,BGD,Bangladesh,2013,PERTUSSIS,Pertussis (Whooping cough),450
COUNTRIES,BGD,Bangladesh,2013,DIPHTHERIA,Diphtheria,278
COUNTRIES,BGD,Bangladesh,2013,TB,Tuberculosis,390
COUNTRIES,BGD,Bangladesh,2013,HEPB,Hepatitis B,169
COUNTRIES,BGD,Bangladesh,2014,MEASLES,Measles,132
COUNTRIES,BGD,Bangladesh,2014,POLIO,Poliomyelitis,126
COUNTRIES,BGD,Bangladesh,2014,PERTUSSIS,Pertussis (Whooping cough),302
COUNTRIES,BGD,Bangladesh,2014,DIPHTHERIA,Diphtheria,18
COUNTRIES,BGD,Bangladesh,2014,TB,Tuberculosis,1054
COUNTRIES,BGD,Bangladesh,2014,HEPB,Hepatitis B,306
COUNTRIES,BGD,Bangladesh,2015,MEASLES,Measles,199
COUNTRIES,BGD,Bangladesh,2015,POLIO,Poliomyelitis,62
COUNTRIES,BGD,Bangladesh,2015,PERTUSSIS,Pertussis (Whooping cough),7
COUNTRIES,BGD,Bangladesh,2015,DIPHTHERIA,Diphtheria,217
COUNTRIES,BGD,Bangladesh,2015,TB,Tuberculosis,324
COUNTRIES,BGD,Bangladesh,2015,HEPB,Hepatitis B,61
COUNTRIES,BGD,Bangladesh,2016,MEASLES,Measles,358
COUNTRIES,BGD,Bangladesh,2016,POLIO,Poliomyelitis,567
COUNTRIES,BGD,Bangladesh,2016,PERTUSSIS,Pertussis (Whooping cough),184
COUNTRIES,BGD,Bangladesh,2016,DIPHTHERIA,Diphtheria,0
COUNTRIES,BGD,Bangladesh,2016,TB,Tuberculosis,514
COUNTRIES,BGD,Bangladesh,2016,HEPB,Hepatitis B,465
COUNTRIES,BGD,Bangladesh,2017,MEASLES,Measles,1554
COUNTRIES,BGD,Bangladesh,2017,POLIO,Poliomyelitis,372
COUNTRIES,BGD,Bangladesh,2017,PERTUSSIS,Pertussis (Whooping cough),105
COUNTRIES,BGD,Bangladesh,2017,DIPHTHERIA,Diphtheria,77
COUNTRIES,BGD,Bangladesh,2017,TB,Tuberculosis,70
COUNTRIES,BGD,Bangladesh,2017,HEPB,Hepatitis B,65
COUNTRIES,BGD,Bangladesh,2018,MEASLES,Measles,672
COUNTRIES,BGD,Bangladesh,2018,POLIO,Poliomyelitis,0
COUNTRIES,BGD,Bangladesh,2018,PERTUSSIS,Pertussis (Whooping cough),165
COUNTRIES,BGD,Bangladesh,2018,DIPHTHERIA,Diphtheria,351
COUNTRIES,BGD,Bangladesh,2018,TB,Tuberculosis,194
COUNTRIES,BGD,Bangladesh,2018,HEPB,Hepatitis B,315
COUNTRIES,BGD,Bangladesh,2019,MEASLES,Measles,362
COUNTRIES,BGD,Bangladesh,2019,POLIO,Poliomyelitis,1214
COUNTRIES,BGD,Bangladesh,2019,PERTUSSIS,Pertussis (Whooping cough),1163
COUNTRIES,BGD,Bangladesh,2019,DIPHTHERIA,Diphtheria,223
COUNTRIES,BGD,Bangladesh,2019,TB,Tuberculosis,256
COUNTRIES,BGD,Bangladesh,2019,HEPB,Hepatitis B,253
COUNTRIES,BGD,Bangladesh,2020,MEASLES,Measles,354
COUNTRIES,BGD,Bangladesh,2020,POLIO,Poliomyelitis,618
COUNTRIES,BGD,Bangladesh,2020,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,BGD,Bangladesh,2020,DIPHTHERIA,Diphtheria,359
COUNTRIES,BGD,Bangladesh,2020,TB,Tuberculosis,12
COUNTRIES,BGD,Bangladesh,2020,HEPB,Hepatitis B,403
COUNTRIES,BGD,Bangladesh,2021,MEASLES,Measles,325
COUNTRIES,BGD,Bangladesh,2021,POLIO,Poliomyelitis,272
COUNTRIES,BGD,Bangladesh,2021,PERTUSSIS,Pertussis (Whooping cough),18
COUNTRIES,BGD,Bangladesh,2021,DIPHTHERIA,Diphtheria,434
COUNTRIES,BGD,Bangladesh,2021,TB,Tuberculosis,345
COUNTRIES,BGD,Bangladesh,2021,HEPB,Hepatitis B,434
COUNTRIES,BGD,Bangladesh,2022,MEASLES,Measles,333
COUNTRIES,BGD,Bangladesh,2022,POLIO,Poliomyelitis,0
COUNTRIES,BGD,Bangladesh,2022,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,BGD,Bangladesh,2022,DIPHTHERIA,Diphtheria,298
COUNTRIES,BGD,Bangladesh,2022,TB,Tuberculosis,24
COUNTRIES,BGD,Bangladesh,2022,HEPB,Hepatitis B,142
COUNTRIES,BGD,Bangladesh,2023,MEASLES,Measles,41
COUNTRIES,BGD,Bangladesh,2023,POLIO,Poliomyelitis,0
COUNTRIES,BGD,Bangladesh,2023,PERTUSSIS,Pertussis (Whooping cough),96
COUNTRIES,BGD,Bangladesh,2023,DIPHTHERIA,Diphtheria,105
COUNTRIES,BGD,Bangladesh,2023,TB,Tuberculosis,96
COUNTRIES,BGD,Bangladesh,2023,HEPB,Hepatitis B,0
COUNTRIES,GBR,United Kingdom,2010,MEASLES,Measles,0
COUNTRIES,GBR,United Kingdom,2010,POLIO,Poliomyelitis,420
COUNTRIES,GBR,United Kingdom,2010,PERTUSSIS,Pertussis (Whooping cough),631
COUNTRIES,GBR,United Kingdom,2010,DIPHTHERIA,Diphtheria,589
COUNTRIES,GBR,United Kingdom,2010,TB,Tuberculosis,55
COUNTRIES,GBR,United Kingdom,2010,HEPB,Hepatitis B,891
COUNTRIES,GBR,United Kingdom,2011,MEASLES,Measles,36
COUNTRIES,GBR,United Kingdom,2011,POLIO,Poliomyelitis,620
COUNTRIES,GBR,United Kingdom,2011,PERTUSSIS,Pertussis (Whooping cough),184
COUNTRIES,GBR,United Kingdom,2011,DIPHTHERIA,Diphtheria,151
COUNTRIES,GBR,United Kingdom,2011,TB,Tuberculosis,6
COUNTRIES,GBR,United Kingdom,2011,HEPB,Hepatitis B,222
COUNTRIES,GBR,United Kingdom,2012,MEASLES,Measles,88
COUNTRIES,GBR,United Kingdom,2012,POLIO,Poliomyelitis,2
COUNTRIES,GBR,United Kingdom,2012,PERTUSSIS,Pertussis (Whooping cough),128
COUNTRIES,GBR,United Kingdom,2012,DIPHTHERIA,Diphtheria,36
COUNTRIES,GBR,United Kingdom,2012,TB,Tuberculosis,184
COUNTRIES,GBR,United Kingdom,2012,HEPB,Hepatitis B,0
COUNTRIES,GBR,United Kingdom,2013,MEASLES,Measles,198
COUNTRIES,GBR,United Kingdom,2013,POLIO,Poliomyelitis,149
COUNTRIES,GBR,United Kingdom,2013,PERTUSSIS,Pertussis (Whooping cough),275
COUNTRIES,GBR,United Kingdom,2013,DIPHTHERIA,Diphtheria,537
COUNTRIES,GBR,United Kingdom,2013,TB,Tuberculosis,68
COUNTRIES,GBR,United Kingdom,2013,HEPB,Hepatitis B,534
COUNTRIES,GBR,United Kingdom,2014,MEASLES,Measles,261
COUNTRIES,GBR,United Kingdom,2014,POLIO,Poliomyelitis,515
COUNTRIES,GBR,United Kingdom,2014,PERTUSSIS,Pertussis (Whooping cough),14
COUNTRIES,GBR,United Kingdom,2014,DIPHTHERIA,Diphtheria,187
COUNTRIES,GBR,United Kingdom,2014,TB,Tuberculosis,1030
COUNTRIES,GBR,United Kingdom,2014,HEPB,Hepatitis B,277
COUNTRIES,GBR,United Kingdom,2015,MEASLES,Measles,1440
COUNTRIES,GBR,United Kingdom,2015,POLIO,Poliomyelitis,379
COUNTRIES,GBR,United Kingdom,2015,PERTUSSIS,Pertussis (Whooping cough),636
COUNTRIES,GBR,United Kingdom,2015,DIPHTHERIA,Diphtheria,4
COUNTRIES,GBR,United Kingdom,2015,TB,Tuberculosis,390
COUNTRIES,GBR,United Kingdom,2015,HEPB,Hepatitis B,0
COUNTRIES,GBR,United Kingdom,2016,MEASLES,Measles,140
COUNTRIES,GBR,United Kingdom,2016,POLIO,Poliomyelitis,842
COUNTRIES,GBR,United Kingdom,2016,PERTUSSIS,Pertussis (Whooping cough),226
COUNTRIES,GBR,United Kingdom,2016,DIPHTHERIA,Diphtheria,235
COUNTRIES,GBR,United Kingdom,2016,TB,Tuberculosis,310
COUNTRIES,GBR,United Kingdom,2016,HEPB,Hepatitis B,473
COUNTRIES,GBR,United Kingdom,2017,MEASLES,Measles,30
COUNTRIES,GBR,United Kingdom,2017,POLIO,Poliomyelitis,392
COUNTRIES,GBR,United Kingdom,2017,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,GBR,United Kingdom,2017,DIPHTHERIA,Diphtheria,339
COUNTRIES,GBR,United Kingdom,2017,TB,Tuberculosis,37
COUNTRIES,GBR,United Kingdom,2017,HEPB,Hepatitis B,58
COUNTRIES,GBR,United Kingdom,2018,MEASLES,Measles,134
COUNTRIES,GBR,United Kingdom,2018,POLIO,Poliomyelitis,315
COUNTRIES,GBR,United Kingdom,2018,PERTUSSIS,Pertussis (Whooping cough),41
COUNTRIES,GBR,United Kingdom,2018,DIPHTHERIA,Diphtheria,599
COUNTRIES,GBR,United Kingdom,2018,TB,Tuberculosis,94
COUNTRIES,GBR,United Kingdom,2018,HEPB,Hepatitis B,360
COUNTRIES,GBR,United Kingdom,2019,MEASLES,Measles,738
COUNTRIES,GBR,United Kingdom,2019,POLIO,Poliomyelitis,292
COUNTRIES,GBR,United Kingdom,2019,PERTUSSIS,Pertussis (Whooping cough),549
COUNTRIES,GBR,United Kingdom,2019,DIPHTHERIA,Diphtheria,444
COUNTRIES,GBR,United Kingdom,2019,TB,Tuberculosis,273
COUNTRIES,GBR,United Kingdom,2019,HEPB,Hepatitis B,927
COUNTRIES,GBR,United Kingdom,2020,MEASLES,Measles,3
COUNTRIES,GBR,United Kingdom,2020,POLIO,Poliomyelitis,256
COUNTRIES,GBR,United Kingdom,2020,PERTUSSIS,Pertussis (Whooping cough),374
COUNTRIES,GBR,United Kingdom,2020,DIPHTHERIA,Diphtheria,186
COUNTRIES,GBR,United Kingdom,2020,TB,Tuberculosis,131
COUNTRIES,GBR,United Kingdom,2020,HEPB,Hepatitis B,332
COUNTRIES,GBR,United Kingdom,2021,MEASLES,Measles,278
COUNTRIES,GBR,United Kingdom,2021,POLIO,Poliomyelitis,110
COUNTRIES,GBR,United Kingdom,2021,PERTUSSIS,Pertussis (Whooping cough),74
COUNTRIES,GBR,United Kingdom,2021,DIPHTHERIA,Diphtheria,2777
COUNTRIES,GBR,United Kingdom,2021,TB,Tuberculosis,95
COUNTRIES,GBR,United Kingdom,2021,HEPB,Hepatitis B,55
COUNTRIES,GBR,United Kingdom,2022,MEASLES,Measles,325
COUNTRIES,GBR,United Kingdom,2022,POLIO,Poliomyelitis,159
COUNTRIES,GBR,United Kingdom,2022,PERTUSSIS,Pertussis (Whooping cough),861
COUNTRIES,GBR,United Kingdom,2022,DIPHTHERIA,Diphtheria,277
COUNTRIES,GBR,United Kingdom,2022,TB,Tuberculosis,274
COUNTRIES,GBR,United Kingdom,2022,HEPB,Hepatitis B,46
COUNTRIES,GBR,United Kingdom,2023,MEASLES,Measles,55
COUNTRIES,GBR,United Kingdom,2023,POLIO,Poliomyelitis,157
COUNTRIES,GBR,United Kingdom,2023,PERTUSSIS,Pertussis (Whooping cough),55
COUNTRIES,GBR,United Kingdom,2023,DIPHTHERIA,Diphtheria,313
COUNTRIES,GBR,United Kingdom,2023,TB,Tuberculosis,63
COUNTRIES,GBR,United Kingdom,2023,HEPB,Hepatitis B,322
COUNTRIES,DEU,Germany,2010,MEASLES,Measles,474
COUNTRIES,DEU,Germany,2010,POLIO,Poliomyelitis,0
COUNTRIES,DEU,Germany,2010,PERTUSSIS,Pertussis (Whooping cough),1214
COUNTRIES,DEU,Germany,2010,DIPHTHERIA,Diphtheria,77
COUNTRIES,DEU,Germany,2010,TB,Tuberculosis,1721
COUNTRIES,DEU,Germany,2010,HEPB,Hepatitis B,378
COUNTRIES,DEU,Germany,2011,MEASLES,Measles,1298
COUNTRIES,DEU,Germany,2011,POLIO,Poliomyelitis,1125
COUNTRIES,DEU,Germany,2011,PERTUSSIS,Pertussis (Whooping cough),2169
COUNTRIES,DEU,Germany,2011,DIPHTHERIA,Diphtheria,930
COUNTRIES,DEU,Germany,2011,TB,Tuberculosis,1562
COUNTRIES,DEU,Germany,2011,HEPB,Hepatitis B,722
COUNTRIES,DEU,Germany,2012,MEASLES,Measles,663
COUNTRIES,DEU,Germany,2012,POLIO,Poliomyelitis,466
COUNTRIES,DEU,Germany,2012,PERTUSSIS,Pertussis (Whooping cough),2051
COUNTRIES,DEU,Germany,2012,DIPHTHERIA,Diphtheria,516
COUNTRIES,DEU,Germany,2012,TB,Tuberculosis,114
COUNTRIES,DEU,Germany,2012,HEPB,Hepatitis B,2562
COUNTRIES,DEU,Germany,2013,MEASLES,Measles,818
COUNTRIES,DEU,Germany,2013,POLIO,Poliomyelitis,1109
COUNTRIES,DEU,Germany,2013,PERTUSSIS,Pertussis (Whooping cough),1987
COUNTRIES,DEU,Germany,2013,DIPHTHERIA,Diphtheria,1026
COUNTRIES,DEU,Germany,2013,TB,Tuberculosis,1713
COUNTRIES,DEU,Germany,2013,HEPB,Hepatitis B,353
COUNTRIES,DEU,Germany,2014,MEASLES,Measles,1735
COUNTRIES,DEU,Germany,2014,POLIO,Poliomyelitis,3133
COUNTRIES,DEU,Germany,2014,PERTUSSIS,Pertussis (Whooping cough),301
COUNTRIES,DEU,Germany,2014,DIPHTHERIA,Diphtheria,0
COUNTRIES,DEU,Germany,2014,TB,Tuberculosis,365
COUNTRIES,DEU,Germany,2014,HEPB,Hepatitis B,254
COUNTRIES,DEU,Germany,2015,MEASLES,Measles,236
COUNTRIES,DEU,Germany,2015,POLIO,Poliomyelitis,7056
COUNTRIES,DEU,Germany,2015,PERTUSSIS,Pertussis (Whooping cough),1485
COUNTRIES,DEU,Germany,2015,DIPHTHERIA,Diphtheria,295
COUNTRIES,DEU,Germany,2015,TB,Tuberculosis,1102
COUNTRIES,DEU,Germany,2015,HEPB,Hepatitis B,813
COUNTRIES,DEU,Germany,2016,MEASLES,Measles,1359
COUNTRIES,DEU,Germany,2016,POLIO,Poliomyelitis,2308
COUNTRIES,DEU,Germany,2016,PERTUSSIS,Pertussis (Whooping cough),914
COUNTRIES,DEU,Germany,2016,DIPHTHERIA,Diphtheria,1555
COUNTRIES,DEU,Germany,2016,TB,Tuberculosis,1125
COUNTRIES,DEU,Germany,2016,HEPB,Hepatitis B,629
COUNTRIES,DEU,Germany,2017,MEASLES,Measles,43
COUNTRIES,DEU,Germany,2017,POLIO,Poliomyelitis,3687
COUNTRIES,DEU,Germany,2017,PERTUSSIS,Pertussis (Whooping cough),435
COUNTRIES,DEU,Germany,2017,DIPHTHERIA,Diphtheria,90
COUNTRIES,DEU,Germany,2017,TB,Tuberculosis,2392
COUNTRIES,DEU,Germany,2017,HEPB,Hepatitis B,2032
COUNTRIES,DEU,Germany,2018,MEASLES,Measles,758
COUNTRIES,DEU,Germany,2018,POLIO,Poliomyelitis,1076
COUNTRIES,DEU,Germany,2018,PERTUSSIS,Pertussis (Whooping cough),1405
COUNTRIES,DEU,Germany,2018,DIPHTHERIA,Diphtheria,2477
COUNTRIES,DEU,Germany,2018,TB,Tuberculosis,1086
COUNTRIES,DEU,Germany,2018,HEPB,Hepatitis B,247
COUNTRIES,DEU,Germany,2019,MEASLES,Measles,497
COUNTRIES,DEU,Germany,2019,POLIO,Poliomyelitis,356
COUNTRIES,DEU,Germany,2019,PERTUSSIS,Pertussis (Whooping cough),917
COUNTRIES,DEU,Germany,2019,DIPHTHERIA,Diphtheria,2085
COUNTRIES,DEU,Germany,2019,TB,Tuberculosis,74
COUNTRIES,DEU,Germany,2019,HEPB,Hepatitis B,856
COUNTRIES,DEU,Germany,2020,MEASLES,Measles,799
COUNTRIES,DEU,Germany,2020,POLIO,Poliomyelitis,1123
COUNTRIES,DEU,Germany,2020,PERTUSSIS,Pertussis (Whooping cough),584
COUNTRIES,DEU,Germany,2020,DIPHTHERIA,Diphtheria,1648
COUNTRIES,DEU,Germany,2020,TB,Tuberculosis,1891
COUNTRIES,DEU,Germany,2020,HEPB,Hepatitis B,791
COUNTRIES,DEU,Germany,2021,MEASLES,Measles,356
COUNTRIES,DEU,Germany,2021,POLIO,Poliomyelitis,156
COUNTRIES,DEU,Germany,2021,PERTUSSIS,Pertussis (Whooping cough),41
COUNTRIES,DEU,Germany,2021,DIPHTHERIA,Diphtheria,427
COUNTRIES,DEU,Germany,2021,TB,Tuberculosis,1459
COUNTRIES,DEU,Germany,2021,HEPB,Hepatitis B,1684
COUNTRIES,DEU,Germany,2022,MEASLES,Measles,640
COUNTRIES,DEU,Germany,2022,POLIO,Poliomyelitis,1008
COUNTRIES,DEU,Germany,2022,PERTUSSIS,Pertussis (Whooping cough),11901
COUNTRIES,DEU,Germany,2022,DIPHTHERIA,Diphtheria,783
COUNTRIES,DEU,Germany,2022,TB,Tuberculosis,1790
COUNTRIES,DEU,Germany,2022,HEPB,Hepatitis B,1747
COUNTRIES,DEU,Germany,2023,MEASLES,Measles,355
COUNTRIES,DEU,Germany,2023,POLIO,Poliomyelitis,4524
COUNTRIES,DEU,Germany,2023,PERTUSSIS,Pertussis (Whooping cough),107
COUNTRIES,DEU,Germany,2023,DIPHTHERIA,Diphtheria,1380
COUNTRIES,DEU,Germany,2023,TB,Tuberculosis,2633
